"Post ID","Page ID","Page name",Title,Description,"Duration (sec)","Publish time","Caption type",Permalink,"Is crosspost","Is share","Post type",Languages,"Custom labels","Funded content status","Data comment",Date,Views,Reach,"Reactions, Comments and Shares",Reactions,Comments,Shares,"Total clicks","Other Clicks","Matched Audience Targeting Consumption (Photo Click)","Link Clicks","Seconds viewed","Average Seconds viewed","Estimated earnings (USD)","Ad impressions","Ad CPM (USD)"
1021481960000852,100064171711579,"Impact Networking","From 8 websites to 1 seamless solution. 🌐⁠ ⁠ 33 Realty, a leader in Chicago’s real estate industry, faced the challenge of managing multiple sites for their business. Impact Managed Marketing stepped in to simplif","From 8 websites to 1 seamless solution. 🌐⁠
⁠
@[100063574272120:2048:33 Realty], a leader in Chicago’s real estate industry, faced the challenge of managing multiple sites for their business. Impact Managed Marketing stepped in to simplify their digital presence—streamlining 8 sites into 1 centralized hub. ✨💻⁠
⁠
But that’s not all! With our Managed Marketing team, we’ve helped elevate their brand and optimize their lead generation process, making it easier for clients to connect with 33 Realty as a one-stop resource for all their real estate needs.⁠
⁠
Curious how our Managed Marketing team can help your business thrive? Learn more at https://hubs.ly/Q030h00K0

#ManagedMarketing #MarketingServices #Marketing #ManagedServices",39,"01/02/2025 07:30",N/A,https://www.facebook.com/impactmybiz/videos/949461343294438/,0,0,Videos,,,,,Lifetime,371,320,4,3,0,1,4,4,,,1337.703,4.343,0,0,0
1085948756887505,100064171711579,"Impact Networking","Just because you rolled out new tech doesn't mean your employees know how to use it.

80% of companies think they're tech adoption pros, but 90% of employees say otherwise. 👀

So, what's the truth? 

Learn more from our Business Technology Adoption Report here
👉 https://tinyurl.com/4x3sdrxv

#Tech #DigitalTransformation #Innovation",,0,"03/27/2025 10:00",N/A,https://www.facebook.com/impactmybiz/posts/pfbid02wHje8q4tEUphWAR6JCpSajoQ22p9HhGc9AYatvZWHFo1ztVNfysYWt7iu7MAML3xl,0,0,Photos,,,,,Lifetime,475,245,6,4,1,1,2,1,1,,,,,,
1085019276980453,100064171711579,"Impact Networking","This is your sign to thank an IT support member. ❤️

When technology hits a roadblock, businesses are susceptible to pitfalls of disparate systems. More than annoyance, this can lead to inefficiencies in processes, wasted resources, and data isolation. 😥

Think of this as your cheat sheet to running smoother business operations
👉 https://tinyurl.com/3fy73enp

#Tech #DigitalTransformation #Checklist","This is your sign to thank an IT support member. ❤️

When technology hits a roadblock, businesses are susceptible to pitfalls of disparate systems. More than annoyance, this can lead to inefficiencies in processes, wasted resources, and data isolation. 😥

Think of this as your cheat sheet to running smoother business operations
👉 https://tinyurl.com/3fy73enp

#Tech #DigitalTransformation #Checklist",21,"03/26/2025 09:05",N/A,https://www.facebook.com/reel/669755675578760/,1,0,Reels,,,,,Lifetime,652,445,10,9,0,1,21,21,,,4430.663,8.95,0,0,
1083238067158574,100064171711579,"Impact Networking","A match made in (email) heaven! 💌✨

You deserve to open something in your inbox worth swooning over. ❤️ 
The Edge is just the newsletter for that!

It's your go-to for the latest business & tech insights without all the fluff. Just good reads, fresh trends, and the kind of emails you'll want to open.

Head to https://tinyurl.com/4suabncj and subscribe for newsletter & inbox goals!

#TechNewsletter #TechBlog #BusinessInsights",,0,"03/24/2025 10:01",N/A,https://www.facebook.com/impactmybiz/posts/pfbid02ymM7xaBcsv5P3PXEry9YLW8hSyTjwCEyoUroLHtJCGw3k8Mz65Aat97b8a8uAED6l,0,0,Photos,,,,,Lifetime,454,245,5,4,0,1,2,2,,,,,,,
1080776127404768,100064171711579,"Impact Networking","We believe that hard work should pay off! Each year, we celebrate our top-performing sales team members with an unforgettable trip, and this time, we took on the Swiss Alps! 🏔️✨

At Impact, One Team isn’t just a core value—it’s how we operate. We win together, we grow together, and these team members performers prove it every day.

Check out some of our memories! ❤️

Interested in a sales career at Impact? Check out our open positions at https://tinyurl.com/3tpkffb6

📸 credits: @Lucio Andrezzio",,0,"03/21/2025 11:45",N/A,https://www.facebook.com/impactmybiz/posts/pfbid02e8PsFiQw5HNB5DVjkieFD17dRbqpez8NTbAhQVvJP9ZbWTJp2T2dBRifob3cuFebl,0,0,Photos,,,,,Lifetime,3639,1460,145,131,9,5,665,288,363,14,,,,,
1079742344174813,100064171711579,"Impact Networking","With 65% of businesses experiencing cybersecurity incidents last year, and 43% of attacks targeting small businesses, cybersecurity is more important than ever.  

In this episode of Tech Trends, we explore how AI and social media are now on the list of cybercriminal platforms.  

Check out more about why cybersecurity is worth it: https://tinyurl.com/2xxzxrk8

#Cybersecurity #TechTrends","With 65% of businesses experiencing cybersecurity incidents last year, and 43% of attacks targeting small businesses, cybersecurity is more important than ever.  

In this episode of Tech Trends, we explore how AI and social media are now on the list of cybercriminal platforms.  

Check out more about why cybersecurity is worth it: https://tinyurl.com/2xxzxrk8

#Cybersecurity #TechTrends",75,"03/20/2025 10:25",N/A,https://www.facebook.com/reel/1159600908976991/,1,0,Reels,,,,,Lifetime,321,234,5,4,0,1,0,,,,768.231,2.621,0,0,
1078741347608246,100064171711579,"Impact Networking","🚨 TOMORROW IS THE DAY! 🚨

We’re sitting down with David Clark, Director of IT at The HFW Companies to talk about their major business technology adoption journey—what worked, what didn’t, and how they overcame the challenges.

If you’re rolling out new tech (or planning to), this is the conversation you can’t afford to miss.

It’s time to discuss what actually makes tech adoption successful!

Save your spot now!

👉 https://tinyurl.com/45yrsxr3

#Webinar #TechTrends #Tech",,0,"03/19/2025 08:00",N/A,https://www.facebook.com/impactmybiz/posts/pfbid08uTMbXptDCPSagT6w7C9eVn464qx2vQWSqpXNrFmLi1L7kKr6HqVqEdn3vGMhtkbl,0,0,Photos,,,,,Lifetime,793,367,11,9,0,2,3,3,,,,,,,
1078045891011125,100064171711579,"Impact Networking","At Impact, we bring energy to everything we do—because a workplace should be more than just meetings and deadlines. From team events to everyday office moments, we know that fun fuels success.

👀 Want to work somewhere that values both hard work and good vibes? Check out our open positions 

👉 https://tinyurl.com/253n2vxe

#Hiring #TechJobs #SalesJobs",,0,"03/18/2025 10:12",N/A,https://www.facebook.com/impactmybiz/posts/pfbid0e1QYDy1X65N4oyEgKR4kxheiYuFL26NfC1MMcrtdXUE8PQY8kGBUnkyP8zD2sywLl,0,0,Photos,,,,,Lifetime,987,499,23,20,3,0,165,49,110,6,,,,,
1074030564745991,100064171711579,"Impact Networking","AI shouldn't replace workers - it should help them work smarter!

Companies that successfully adopt AI see higher productivity, reduced inefficiencies, and smarter decision-making. But AI implementation isn't one-size-fits-all, it needs to be tailored to your unique business needs.

77% of companies are already using or exploring AI. The question is - how are you using it to your advantage? 👀💻

Check out how Impact is changing the AI game 👉 https://www.impactmybiz.com/digital-transformation/ai-consulting-solutions

#AI #AIStrategy #DigitalTransformation #TechTrends","AI shouldn't replace workers - it should help them work smarter!

Companies that successfully adopt AI see higher productivity, reduced inefficiencies, and smarter decision-making. But AI implementation isn't one-size-fits-all, it needs to be tailored to your unique business needs.

77% of companies are already using or exploring AI. The question is - how are you using it to your advantage? 👀💻

Check out how Impact is changing the AI game 👉 https://www.impactmybiz.com/digital-transformation/ai-consulting-solutions

#AI #AIStrategy #DigitalTransformation #TechTrends",77,"03/13/2025 11:53",N/A,https://www.facebook.com/reel/623890336943215/,1,0,Reels,,,,,Lifetime,169,168,2,2,0,0,2,2,,,544.547,3.513,0,0,
1073221168160264,100064171711579,"Impact Networking","Tech adoption isn’t just about implementing new tools – it’s about making sure employees can actually use them effectively. 

Too often, companies underestimate the human side of tech rollouts, leaving employees frustrated and struggling to keep up. 

Tune in March 20th at 1pm CST where we’re featuring one of our very own clients, David Clark, Director of IT at The HFW Companies, who’s successfully tackled a major tech transition.

We’ll discuss:  

✨ The biggest challenges in tech adoption
✨ Strategies that actually work 
✨ How to ensure employees feel empowered, not overwhelmed 

Save your spot now! 👉 https://tinyurl.com/5euexywr

#Webinar #TechAdoption #TechTrends",,0,"03/12/2025 12:44",N/A,https://www.facebook.com/impactmybiz/posts/pfbid032ExaM5fFgbaXJuTqmy2AwDCAkJ3XqfV5QLxDU5yWcZ6BhyuM1TYZ8kKBrb8W2Evfl,0,0,Photos,,,,,Lifetime,203,145,2,2,0,0,0,,,,,,,,
